Block-size, NxM, p, FD Calc, Avg Calc, Total, Alloc, Transfer GPU, Transfer RAM
16, 100x100, 1000, 94.020256, 0.110624, 2057648.000000, 0.145344, 0.039200, 0.041728
32, 100x100, 1000, 64.235138, 0.091968, 1989929.000000, 0.151840, 0.040064, 0.042688
64, 100x100, 1000, 31.466688, 0.061376, 1960833.000000, 0.148032, 0.039744, 0.039008
128, 100x100, 1000, 30.560640, 0.060608, 1959160.000000, 0.184544, 0.044608, 0.046176
256, 100x100, 1000, 54.787521, 0.051840, 1980419.000000, 0.144320, 0.039424, 0.041792
1024, 100x100, 1000, 178.991074, 0.176928, 2192688.000000, 0.203040, 0.049536, 0.051712
16, 1000x1000, 1000, 7887.807129, 8.906752, 9914973.000000, 0.203712, 1.580960, 1.432864
32, 1000x1000, 1000, 4092.979492, 4.697504, 6119074.000000, 0.203808, 1.571520, 1.373664
64, 1000x1000, 1000, 1803.431396, 2.806528, 3787744.000000, 0.194016, 1.532448, 1.374560
128, 1000x1000, 1000, 1448.816040, 1.645696, 3389772.000000, 0.145056, 1.466656, 1.371552
256, 1000x1000, 1000, 1447.811768, 1.851328, 3411735.000000, 0.207264, 1.522816, 1.370688
1024, 1000x1000, 1000, 1773.559570, 2.145376, 3700264.000000, 0.144800, 1.446400, 1.371264
16, 5000x5000, 1000, 203091.328125, 240.578659, 205453888.000000, 0.597536, 32.509502, 31.621664
32, 5000x5000, 1000, 103517.851562, 125.130013, 105723080.000000, 0.529248, 31.994177, 31.582336
64, 5000x5000, 1000, 46334.230469, 72.273666, 48405048.000000, 0.396448, 31.929983, 31.567936
128, 5000x5000, 1000, 37186.613281, 38.446976, 39250936.000000, 0.466848, 31.923519, 31.665855
256, 5000x5000, 1000, 37097.546875, 43.219616, 39177436.000000, 0.475328, 31.916960, 33.381279
1024, 5000x5000, 1000, 46878.179688, 54.948318, 49013664.000000, 0.525920, 32.021343, 31.804640
16, 15360x15360, 1000, 1926974.000000, 2253.035156, 1931855232.000000, 3.035200, 299.520203, 298.358582
32, 15360x15360, 1000, 983791.062500, 1175.596436, 987563584.000000, 2.750048, 299.846222, 297.262146
64, 15360x15360, 1000, 437758.781250, 673.839417, 441065248.000000, 3.007008, 299.477295, 296.991272
128, 15360x15360, 1000, 349622.750000, 354.462463, 352532768.000000, 2.498144, 299.815857, 297.196381
256, 15360x15360, 1000, 349257.968750, 393.817932, 352269984.000000, 3.005696, 299.370850, 297.734100
1024, 15360x15360, 1000, 439377.843750, 496.706573, 442490720.000000, 2.593184, 299.849884, 297.107025
