Block-size, NxM, p, FD Calc, Avg Calc, Total, Alloc, Transfer GPU, Transfer RAM
16, 100x100, 1000, 8.557504, 0.046688, 2005357.000000, 0.201120, 0.041696, 0.031168
32, 100x100, 1000, 6.749280, 0.036256, 1934657.000000, 0.155488, 0.038656, 0.027616
64, 100x100, 1000, 5.933152, 0.038080, 1926916.000000, 0.164896, 0.039264, 0.030176
128, 100x100, 1000, 6.239136, 0.035936, 1994242.000000, 0.204000, 0.044032, 0.033664
256, 100x100, 1000, 6.076832, 0.040864, 1971327.000000, 0.185504, 0.042976, 0.030016
1024, 100x100, 1000, 10.105856, 0.053536, 1997948.000000, 0.203712, 0.045856, 0.031648
16, 1000x1000, 1000, 383.983124, 1.810176, 2341621.000000, 0.332736, 1.584736, 0.746816
32, 1000x1000, 1000, 209.152985, 0.958016, 2155808.000000, 0.294528, 1.539008, 0.744960
64, 1000x1000, 1000, 129.289948, 0.520736, 2084751.000000, 0.345888, 1.620800, 0.747392
128, 1000x1000, 1000, 90.747459, 0.309824, 2062402.000000, 0.361216, 1.640064, 0.757312
256, 1000x1000, 1000, 93.409599, 0.265312, 2077083.000000, 0.398176, 1.626912, 0.757984
1024, 1000x1000, 1000, 114.500992, 0.412512, 2065875.000000, 0.280512, 1.540640, 0.739136
16, 5000x5000, 1000, 9588.477539, 57.884670, 11760732.000000, 0.680736, 32.054111, 15.893888
32, 5000x5000, 1000, 5116.791016, 29.399391, 7252164.000000, 0.739936, 32.148354, 15.846592
64, 5000x5000, 1000, 3150.385742, 15.474304, 5203617.000000, 0.494752, 31.996769, 15.890688
128, 5000x5000, 1000, 2123.195068, 8.618976, 4179516.000000, 0.521728, 31.982401, 15.913408
256, 5000x5000, 1000, 2149.952148, 6.223520, 4279123.000000, 0.733184, 32.092640, 15.842880
1024, 5000x5000, 1000, 2693.323730, 7.686816, 4745192.000000, 0.527936, 32.045792, 15.887840
16, 15360x15360, 1000, 91588.445312, 592.559387, 94865992.000000, 2.834432, 299.488068, 148.984772
32, 15360x15360, 1000, 47633.921875, 299.555939, 50644528.000000, 3.290720, 299.206818, 148.565094
64, 15360x15360, 1000, 28197.546875, 161.548126, 30993372.000000, 2.374144, 299.845673, 148.684540
128, 15360x15360, 1000, 20087.482422, 91.078751, 22826420.000000, 2.918400, 299.630066, 149.088760
256, 15360x15360, 1000, 19542.257812, 61.548737, 22273296.000000, 3.274112, 299.332489, 148.638885
1024, 15360x15360, 1000, 24363.769531, 68.100258, 27006196.000000, 2.087168, 299.593079, 148.555450
