Block-size, NxM, p, FD Calc, Avg Calc, Total, Alloc, Transfer GPU, Transfer RAM
16, 100x100, 1000, 196.297699, 2.270400, 201307.000000, 0.242304, 0.033024, 0.025440
32, 100x100, 1000, 133.622849, 2.252448, 138608.000000, 0.237376, 0.032352, 0.026816
64, 100x100, 1000, 70.809021, 2.217728, 75759.000000, 0.239008, 0.032544, 0.026816
128, 100x100, 1000, 67.592384, 2.210176, 72535.000000, 0.237888, 0.031616, 0.027008
256, 100x100, 1000, 115.654594, 2.211584, 120593.000000, 0.236960, 0.031584, 0.025120
1024, 100x100, 1000, 369.204590, 2.331360, 374281.000000, 0.239040, 0.032320, 0.026688
16, 1000x1000, 1000, 14344.395508, 20.563105, 14369806.000000, 0.290048, 0.825824, 0.949440
32, 1000x1000, 1000, 8309.797852, 11.889120, 8326123.000000, 0.299872, 0.825568, 0.732640
64, 1000x1000, 1000, 3604.229736, 6.567424, 3615263.000000, 0.329376, 0.761888, 0.794688
128, 1000x1000, 1000, 2412.588379, 4.041632, 2421356.000000, 0.302912, 0.807584, 0.972576
256, 1000x1000, 1000, 2431.020020, 4.385952, 2440078.000000, 0.294816, 0.892704, 0.856000
1024, 1000x1000, 1000, 3642.525879, 7.956000, 3655001.000000, 0.293472, 0.828320, 0.798688
16, 5000x5000, 1000, 406123.093750, 530.947754, 406703840.000000, 9.437184, 16.068256, 16.890144
32, 5000x5000, 1000, 98589.523438, 126.473694, 98759520.000000, 9.411104, 16.400831, 15.966752
64, 5000x5000, 1000, 42037.265625, 72.868546, 42152792.000000, 9.414688, 16.046560, 16.018976
128, 5000x5000, 1000, 27907.406250, 38.598145, 27988390.000000, 9.424736, 16.022049, 15.930272
256, 5000x5000, 1000, 27565.416016, 43.460770, 27651142.000000, 9.431328, 15.992640, 15.908736
1024, 5000x5000, 1000, 42726.578125, 55.282753, 42827000.000000, 9.406432, 18.824863, 15.866816
16, 15360x15360, 1000, 3817429.750000, 4959.955078, 3822869248.000000, 89.323997, 151.188446, 190.442337
32, 15360x15360, 1000, 1904573.500000, 2573.101318, 1907585536.000000, 89.357948, 170.176743, 148.457214
64, 15360x15360, 1000, 814314.875000, 1461.420532, 816194368.000000, 89.300865, 150.386398, 161.885468
128, 15360x15360, 1000, 537860.125000, 774.599060, 539033024.000000, 89.291229, 150.086472, 148.501785
256, 15360x15360, 1000, 543046.375000, 861.022461, 544314368.000000, 89.300194, 150.114212, 157.460678
1024, 15360x15360, 1000, 760018.000000, 500.489471, 760917632.000000, 89.305565, 150.201828, 148.494598
